word,decade,n
telling,1980s,1
temperature's,1960s,1
tenancy,1970s,1
tengo,1980s,1
tenor,1950s,1
termite,1990s,1
test,1970s,1
there'll,1960s,1
thinkin,1960s,1
thinking,1970s,1
threw,1950s,1
threw,1960s,1
thrill,1950s,1
tht,1980s,1
thumbed,1970s,1
thumpin,1960s,1
thunder,1960s,1
thunder,1980s,1
ticket,1980s,1
tight,1950s,1
til,1980s,1
timeless,1970s,1
times,1970s,1
tin,1980s,1
tips,1980s,1
toe,1960s,1
tomorrow,1980s,1
tomorrows,1970s,1
ton,1950s,1
tongue,1980s,1
tongues,1970s,1
tooted,1950s,1
toothless,1960s,1
top,1950s,1
top,1970s,1
torture,2000s,1
touch,1970s,1
tourists,1970s,1
towels,1970s,1
towns,1970s,1
traces,1960s,1
track,1950s,1
track,1980s,1
tracks,1950s,1
trade,1990s,1
trades,1970s,1
traffic,1970s,1
trailer,1990s,1
train,1970s,1
tramp,1960s,1
transistor,1960s,1
traveler,1970s,1
treasure,1960s,1
treat,1950s,1
treat,1960s,1
treating,1960s,1
tree,1950s,1
trees,1960s,1
tremble,1970s,1
tricks,1960s,1
trombone,1950s,1
trouble,1970s,1
troubles,1960s,1
truncheon,1970s,1
truth,1960s,1
tryin,1960s,1
tryin,1980s,1
tuesday,1960s,1
tune,1960s,1
turkey,1990s,1
turtle,1950s,1
tv,1980s,1
twisted,1960s,1
twistin,1970s,1
u.k,1970s,1
uda,1970s,1
uhh,1960s,1
uk,1970s,1
underneath,1970s,1
understand,1970s,1
understood,1960s,1
underworld,1970s,1
unfold,1960s,1
uniform,2000s,1
united,1970s,1
unreal,1960s,1
unspoken,1960s,1
up's,1970s,1
upside,1970s,1
upstairs,1960s,1
usa,1970s,1
useless,1980s,1
v8,1950s,1
vacation,1970s,1
vacuum,1960s,1
vague,1960s,1
vain,1970s,1
valium,1970s,1
vanish,1960s,1
vanished,1960s,1
vegetables,1990s,1
veins,1990s,1
velvet,1970s,1
view,1960s,1
view,1970s,1
ville,1950s,1
violation,1990s,1
visions,1970s,1
visit,1960s,1
vitamin,1990s,1
vocal,1960s,1
vocals,1960s,1
voice,1980s,1
vote,1970s,1
vote,1980s,1
wages,1970s,1
wai,1960s,1
wail,1950s,1
wailin,1970s,1
waitin,1960s,1
waitin,1970s,1
wake,1960s,1
wake,1970s,1
waking,1990s,1
walk,1980s,1
walked,1970s,1
walking,1980s,1
walks,1960s,1
wall,1960s,1
walls,1960s,1
walrus,1960s,1
war,1960s,1
warm,1970s,1
warning,1960s,1
washed,1960s,1
wasted,1970s,1
wasting,1960s,1
watch,1960s,1
watchin,1980s,1
water,1950s,1
water,1960s,1
waterfall,1960s,1
waters,1960s,1
wave,1970s,1
waves,1960s,1
waves,1970s,1
waving,1960s,1
wax,1990s,1
wear,2000s,1
wearin,1980s,1
weariness,1960s,1
wearing,1960s,1
wears,1960s,1
weasel,1990s,1
weather,1970s,1
wedding,1960s,1
wedding,1990s,1
week,1970s,1
week,1980s,1
weeks,1970s,1
weepin,1950s,1
west,1950s,1
west,1960s,1
whale,1970s,1
whalin,1950s,1
what'd,1960s,1
what'll,1970s,1
wheel's,1960s,1
wheeled,1970s,1
whip,1960s,1
whisper,1990s,1
white,1970s,1
white,1980s,1
whiz,1990s,1
whoa,1980s,1
whores,1970s,1
wide,1960s,1
wiggle,1950s,1
wild,1980s,1
win,1960s,1
window,1960s,1
windows,1960s,1
winds,1970s,1
windshield,1970s,1
windy,1960s,1
wing,1990s,1
winner,1990s,1
winter,1970s,1
winters,1970s,1
wipers,1970s,1
wiping,1960s,1
wire,1970s,1
wisdom,1980s,1
wishing,1970s,1
wo,1960s,1
woke,1960s,1
women,1960s,1
women,1970s,1
women,1980s,1
won'tcha,1960s,1
wond'rin,1960s,1
wonky,1960s,1
woo,1980s,1
wood,1950s,1
woods,1950s,1
wop,1950s,1
word,1990s,1
wore,1970s,1
workin,1960s,1
workin,1970s,1
workman's,1970s,1
worlds,1970s,1
worlds,1980s,1
worm,1970s,1
worry,1970s,1
worryin,1960s,1
worse,1990s,1
worship,1970s,1
wrap,1970s,1
wreck,1970s,1
write,1950s,1
write,1990s,1
writers,1960s,1
writing,1960s,1
y'all,1980s,1
y'know,1970s,1
ya,1970s,1
ye,1950s,1
yea,1960s,1
yeaaaaaaaaaaaaaaaaaaaaaaaaah,1970s,1
yearnin,1960s,1
yearns,1950s,1
yell,1950s,1
yellow,1970s,1
yellowy,1970s,1
yesterday,1980s,1
york,1980s,1
zombies,1970s,1
zone,1970s,1
zulu,1980s,1
